original,new
Respondent.ID,Respondent.ID
Collector.ID,Collector.ID
Start.Date,Start.Date
End.Date,End.Date
In.regard.to.your.educational.experiences.at.Ferris.Kendall..please.indicate.your.level.of.satisfaction.with.your.knowledge.abilities.in.each.of.the.following.,GenEd-Ability_to_work_in_groups_-_Very_Satisfied
X,GenEd-Ability_to_work_in_groups_-_Somewhat_Satisfied
X.1,GenEd-Ability_to_work_in_groups_-_Somewhat_Dissatisfied
X.2,GenEd-Ability_to_work_in_groups_-_Very_Dissatisfied
X.3,GenEd-Ability_to_work_independently_-_Very_Satisfied
X.4,GenEd-Ability_to_work_independently_-_Somewhat_Satisfied
X.5,GenEd-Ability_to_work_independently_-_Somewhat_Dissatisfied
X.6,GenEd-Ability_to_work_independently_-_Very_Dissatisfied
X.7,GenEd-Problem_solving_skills_-_Very_Satisfied
X.8,GenEd-Problem_solving_skills_-_Somewhat_Satisfied
X.9,GenEd-Problem_solving_skills_-_Somewhat_Dissatisfied
X.10,GenEd-Problem_solving_skills_-_Very_Dissatisfied
X.11,GenEd-Creativity_-_Very_Satisfied
X.12,GenEd-Creativity_-_Somewhat_Satisfied
X.13,GenEd-Creativity_-_Somewhat_Dissatisfied
X.14,GenEd-Creativity_-_Very_Dissatisfied
X.15,GenEd-Global_Perspective_-_Very_Satisfied
X.16,GenEd-Global_Perspective_-_Somewhat_Satisfied
X.17,GenEd-Global_Perspective_-_Somewhat_Dissatisfied
X.18,GenEd-Global_Perspective_-_Very_Dissatisfied
X.19,GenEd-Writing_-_Very_Satisfied
X.20,GenEd-Writing_-_Somewhat_Satisfied
X.21,GenEd-Writing_-_Somewhat_Dissatisfied
X.22,GenEd-Writing_-_Very_Dissatisfied
X.23,GenEd-Oral_Communication_-_Very_Satisfied
X.24,GenEd-Oral_Communication_-_Somewhat_Satisfied
X.25,GenEd-Oral_Communication_-_Somewhat_Dissatisfied
X.26,GenEd-Oral_Communication_-_Very_Dissatisfied
X.27,GenEd-Information_Technology_-_Very_Satisfied
X.28,GenEd-Information_Technology_-_Somewhat_Satisfied
X.29,GenEd-Information_Technology_-_Somewhat_Dissatisfied
X.30,GenEd-Information_Technology_-_Very_Dissatisfied
X.31,GenEd-Quantitative_Reasoning_-_Very_Satisfied
X.32,GenEd-Quantitative_Reasoning_-_Somewhat_Satisfied
X.33,GenEd-Quantitative_Reasoning_-_Somewhat_Dissatisfied
X.34,GenEd-Quantitative_Reasoning_-_Very_Dissatisfied
X.35,GenEd-Scientific_Understanding_(Science_lab_classes)_-_Very_Satisfied
X.36,GenEd-Scientific_Understanding_(Science_lab_classes)_-_Somewhat_Satisfied
X.37,GenEd-Scientific_Understanding_(Science_lab_classes)_-_Somewhat_Dissatisfied
X.38,GenEd-Scientific_Understanding_(Science_lab_classes)_-_Very_Dissatisfied
I.believe.Ferris.State.University.Kendall.College.of.Art...Design.was.a.good.value.for.my.money.,GoodValue-Strongly_Agree
X.39,GoodValue-Somewhat_Agree
X.40,GoodValue-Somewhat_Disagree
X.41,GoodValue-Strongly_Disagree
Which.of.the.following.best.describes.your.immediate.plans.after.graduation.,ImmediatePlans-Planning_to_continue_education
X.42,ImmediatePlans-Will_begin_searching_for_job_after_graduation
X.43,ImmediatePlans-Currently_searching_for_job
X.44,ImmediatePlans-Waiting_for_job_offer(s)
X.45,ImmediatePlans-Considering_one_or_more_job_offers
X.46,ImmediatePlans-Have_accepted_a_position/already_have_a_position
X.47,"ImmediatePlans-Participating_in_a_volunteer/service_program_(i.e.,_Peace_Corps)"
X.48,ImmediatePlans-Joining_the_military
X.49,ImmediatePlans-Not_seeking_employment_or_continuing_education_at_this_time
Did.you.complete.one.or.more.experienceships.internships..paid.or.unpaid..Ferris.Kendall.sponsored.or.not..practicums..clinical.experience..student.teaching..,Experienceship-Yes
X.50,Experienceship-No
Please.indicate.your.level.of.satisfaction.with.the.following.aspects.of.your.education.at.Ferris.Kendall.,StudentLife-Sense_of_belonging_at_Ferris/Kendall_-_Very_Satisfied
X.51,StudentLife-Sense_of_belonging_at_Ferris/Kendall_-_Somewhat_Satisfied
X.52,StudentLife-Sense_of_belonging_at_Ferris/Kendall_-_Somewhat_Dissatisfied
X.53,StudentLife-Sense_of_belonging_at_Ferris/Kendall_-_Very_Dissatisfied
X.54,StudentLife-Overall_Ferris/Kendall_experience_-_Very_Satisfied
X.55,StudentLife-Overall_Ferris/Kendall_experience_-_Somewhat_Satisfied
X.56,StudentLife-Overall_Ferris/Kendall_experience_-_Somewhat_Dissatisfied
X.57,StudentLife-Overall_Ferris/Kendall_experience_-_Very_Dissatisfied
X.58,StudentLife-Education_you_received_in_your_major_-_Very_Satisfied
X.59,StudentLife-Education_you_received_in_your_major_-_Somewhat_Satisfied
X.60,StudentLife-Education_you_received_in_your_major_-_Somewhat_Dissatisfied
X.61,StudentLife-Education_you_received_in_your_major_-_Very_Dissatisfied
X.62,StudentLife-Your_level_of_involvement_in_campus_activities_-_Very_Satisfied
X.63,StudentLife-Your_level_of_involvement_in_campus_activities_-_Somewhat_Satisfied
X.64,StudentLife-Your_level_of_involvement_in_campus_activities_-_Somewhat_Dissatisfied
X.65,StudentLife-Your_level_of_involvement_in_campus_activities_-_Very_Dissatisfied
X.66,StudentLife-Career_support_from_faculty_and_staff_-_Very_Satisfied
X.67,StudentLife-Career_support_from_faculty_and_staff_-_Somewhat_Satisfied
