Competency,FLO,rubric_value,description,definition,characteristics
COLL,1,4 – Advanced,Collaboration – COL1 Individual Contribution – Students completes all assigned tasks by their deadlines in a thorough and comprehensive manner that advances the overall project aims. ,Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.  ,"Completes all assigned tasks by deadline; work accomplished is thorough, comprehensive, and advances the project. Proactively helps other team members complete their assigned tasks to a similar level of excellence.  "
COLL,1,3 – Proficient,Collaboration – COL1 Individual Contribution – Students completes all assigned tasks by their deadlines in a thorough and comprehensive manner that advances the overall project aims. ,Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ," Completes all assigned tasks by deadline; work accomplished is thorough, comprehensive, and advances the project.   "
COLL,1,2 – Progressing,Collaboration – COL1 Individual Contribution – Students completes all assigned tasks by their deadlines in a thorough and comprehensive manner that advances the overall project aims. ,"Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ",  Completes all assigned tasks by deadline; work accomplished advances the project.   
COLL,1,1 – Beginning,Collaboration – COL1 Individual Contribution – Students completes all assigned tasks by their deadlines in a thorough and comprehensive manner that advances the overall project aims. ,Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,  Completes all assigned tasks by deadline.   
COLL,1,0 – Unsatisfactory,Collaboration – COL1 Individual Contribution – Students completes all assigned tasks by their deadlines in a thorough and comprehensive manner that advances the overall project aims. ,Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete., Impedes the project by failing to complete assigned tasks by deadline. 
COLL,2,4 – Advanced,Collaboration – COL2 Facilitate Others – Students engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.,Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.  ,Engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.  
COLL,2,3 – Proficient,Collaboration – COL2 Facilitate Others – Students engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.,Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  , Engages team members in ways that facilitate their contributions to meetings by constructively building upon or synthesizing the contributions of others.   
COLL,2,2 – Progressing,Collaboration – COL2 Facilitate Others – Students engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.,"Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ", Engages team members in ways that facilitate their contributions to meetings by restating the views of other team members and/or asking questions for clarification.  
COLL,2,1 – Beginning,Collaboration – COL2 Facilitate Others – Students engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.,Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. , Engages team members by taking turns and listening to others without interrupting.   
COLL,2,0 – Unsatisfactory,Collaboration – COL2 Facilitate Others – Students engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.,Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete., Does not productively engage with other team members. 
COLL,3,4 – Advanced,"Collaboration – COL3 Foster Team Environment – Students support a constructive team environment through appropriate communication, positive vocal and written tone and body language. ",  Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.    ,of the following activities: 1) Treats team members respectfully by being polite and constructive in communication. 2) Uses positive vocal or written tone and/or body language to convey a positive attitude about the team and its work. 3) Motivates teammates by expressing confidence about the importance of the task and the team's ability to accomplish it. 4) Provides assistance and/or encouragement to team members.
COLL,3,3 – Proficient,"Collaboration – COL3 Foster Team Environment – Students support a constructive team environment through appropriate communication, positive vocal and written tone and body language. ",Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  , Supports a constructive team climate by doing any three of the activities enumerated above.    
COLL,3,2 – Progressing,"Collaboration – COL3 Foster Team Environment – Students support a constructive team environment through appropriate communication, positive vocal and written tone and body language. ","Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ", Adds to a constructive team climate by doing any two of the activities enumerated above.    
COLL,3,1 – Beginning,"Collaboration – COL3 Foster Team Environment – Students support a constructive team environment through appropriate communication, positive vocal and written tone and body language. ",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. , Participates in a constructive team climate by doing any one of the activities enumerated above.   
COLL,3,0 – Unsatisfactory,"Collaboration – COL3 Foster Team Environment – Students support a constructive team environment through appropriate communication, positive vocal and written tone and body language. ",Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,Does not contribute in a way that fosters a constructive team climate.  
COLL,4,4 – Advanced,"Collaboration – COL4 Conflict Resolution – Students address conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness. ",Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,"Addresses destructive conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness.  "
COLL,4,3 – Proficient,"Collaboration – COL4 Conflict Resolution – Students address conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness. ",Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  , Identifies and acknowledges conflict and stays engaged with it.    
COLL,4,2 – Progressing,"Collaboration – COL4 Conflict Resolution – Students address conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness. ","Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ","  Redirecting focus toward common ground, toward task at hand (away from conflict).   "
COLL,4,1 – Beginning,"Collaboration – COL4 Conflict Resolution – Students address conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness. ",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,  Passively accepts alternate viewpoints/ideas/opinions.   
COLL,4,0 – Unsatisfactory,"Collaboration – COL4 Conflict Resolution – Students address conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness. ",Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete., Does not help to manage or resolve conflict within the group. 
COMS,1,4 – Advanced,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ",Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,"continually adapt the content, structure, language, illustrations, non-verbal cues, style, visual elements, and tone of voice to the expectations, assumptions, and demographics of targeted audiences  "
COMS,1,3 – Proficient,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ",Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,"illustrations, non-verbal cues, style, visual elements, and tone of voice to the expectations, assumptions, and demographics of targeted audiences   "
COMS,1,2 – Progressing,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ","Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ","Considers the expectations, assumptions, and demographics of targeted audiences when making choices of content, structure, language, illustrations, non-verbal cues, style, visual elements, or tone of voice  "
COMS,1,1 – Beginning,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,"Attempts to establish common ground with an audience through choices of content, structure, language, illustrations, non-verbal cues, style, visual elements, or tone of voice  "
